ID,Temple_Length,Clapping_Force,W,d,FL3_3E
1,60,0,24.3,0,0
2,60,0.066,25,0.7,22.95652174
3,60,0.159,26,1.7,55.30434783
4,60,0.258,27,2.7,89.73913043
5,60,0.35,28,3.7,121.7391304
6,60,0.45,29,4.7,156.5217391
7,60,0.51,30,5.7,177.3913043
8,60,0.613,31,6.7,213.2173913
9,60,0.692,32,7.7,240.6956522
10,60,0.798,33,8.7,277.5652174
1,70,0,23,0,0
2,70,0.05,24,1,27.61674718
3,70,0.108,25,2,59.65217391
4,70,0.174,26,3,96.10628019
5,70,0.229,27,4,126.4847021
6,70,0.295,28,5,162.9388084
7,70,0.376,29,6,207.6779388
8,70,0.467,30,7,257.9404187
9,70,0.569,31,8,314.2785829
10,70,0.684,32,9,377.7971014
1,80,0,21.4,0,0
2,80,0.021,22,0.6,17.31400966
3,80,0.075,23,1.6,61.83574879
4,80,0.122,24,2.6,100.5861514
5,80,0.174,25,3.6,143.4589372
6,80,0.221,26,4.6,182.2093398
7,80,0.27,27,5.6,222.6086957
8,80,0.316,28,6.6,260.5346216
9,80,0.365,29,7.6,300.9339775
10,80,0.403,30,8.6,332.2640902
1,90,0,19.9,0,0
2,90,0.035,21,1.1,41.08695652
3,90,0.072,22,2.1,84.52173913
4,90,0.11,23,3.1,129.1304348
5,90,0.149,24,4.1,174.9130435
6,90,0.185,25,5.1,217.173913
7,90,0.225,26,6.1,264.1304348
8,90,0.258,27,7.1,302.8695652
9,90,0.296,28,8.1,347.4782609
10,90,0.328,29,9.1,385.0434783
1,100,0,17.7,0,0
2,100,0.028,19,1.3,45.08856683
3,100,0.056,20,2.3,90.17713366
4,100,0.084,21,3.3,135.2657005
5,100,0.111,22,4.3,178.7439614
6,100,0.14,23,5.3,225.4428341
7,100,0.169,24,6.3,272.1417069
8,100,0.199,25,7.3,320.4508857
9,100,0.229,26,8.3,368.7600644
10,100,0.255,27,9.3,410.6280193
